,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 16, 2020",VILLA,76,TEMPL,56,W,6.5,W,139.5,U
1,"Feb 12, 2020",MARQ,71,VILLA,72,W,-6.0,L,144.0,U
2,"Feb 8, 2020",SETON,70,VILLA,64,L,-4.0,L,139.0,U
3,"Feb 5, 2020",VILLA,76,BUTLR,79,L,-3.0,P,130.5,O
4,"Feb 1, 2020",CREIG,76,VILLA,61,L,-6.5,L,142.5,U
5,"Jan 28, 2020",VILLA,79,STJON,59,W,3.0,W,146.0,U
6,"Jan 25, 2020",VILLA,64,PROV,60,W,3.0,W,135.0,U
7,"Jan 21, 2020",BUTLR,61,VILLA,76,W,-3.5,W,129.0,O
8,"Jan 18, 2020",UCONN,55,VILLA,61,W,-9.5,L,134.0,U
9,"Jan 14, 2020",DPAUL,75,VILLA,79,W,-9.5,L,142.0,O
10,"Jan 11, 2020",GTOWN,66,VILLA,80,W,-8.0,W,146.5,U
11,"Jan 7, 2020",VILLA,64,CREIG,59,W,-2.0,W,146.5,U
12,"Jan 4, 2020",VILLA,60,MARQ,71,L,-1.5,L,150.0,U
13,"Dec 30, 2019",XAVIR,62,VILLA,68,W,-5.5,W,140.0,U
14,"Dec 21, 2019",KANSA,55,VILLA,56,W,2.0,W,147.0,U
15,"Dec 14, 2019",DELA,70,VILLA,78,W,-14.5,L,146.0,O
16,"Dec 7, 2019",VILLA,78,STJOE,66,W,15.5,L,157.5,U
17,"Dec 4, 2019",PENN,69,VILLA,80,W,-13.0,L,152.5,U
18,"Dec 1, 2019",LASAL,72,VILLA,83,W,-18.5,L,141.5,O
19,"Nov 24, 2019",VILLA,78,BAYLR,87,L,1.5,L,139.0,O
20,"Nov 22, 2019",VILLA,83,MISST,76,W,7.0,P,134.5,O
21,"Nov 21, 2019",VILLA,98,MIDTN,69,W,19.0,W,148.5,O
22,"Nov 16, 2019",OHIO,54,VILLA,78,W,-19.0,W,131.5,O
23,"Nov 13, 2019",VILLA,51,OHIOS,76,L,-1.0,L,131.5,U
24,"Nov 5, 2019",ARMY,54,VILLA,97,W,-23.0,W,145.0,O
25,"Mar 23, 2019",VILLA,61,PURDU,87,L,-3.5,L,138.0,O
26,"Mar 21, 2019",STMAR,57,VILLA,61,W,-3.5,W,127.5,U
27,"Mar 16, 2019",SETON,72,VILLA,74,W,-4.5,L,135.0,O
28,"Mar 15, 2019",XAVIR,67,VILLA,71,W,-7.0,L,133.0,O
29,"Mar 14, 2019",PROV,62,VILLA,73,W,-6.5,W,131.0,O
