,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 15, 2020",VIRGA,64,UNC,62,W,-1.5,W,117.0,O
1,"Feb 11, 2020",ND,49,VIRGA,50,W,-5.0,L,117.5,U
2,"Feb 8, 2020",VIRGA,73,LOUIS,80,L,-7.0,P,114.5,O
3,"Feb 5, 2020",CLEMS,44,VIRGA,51,W,-7.5,L,107.0,U
4,"Jan 28, 2020",FLAST,56,VIRGA,61,W,2.0,W,114.0,O
5,"Jan 26, 2020",VIRGA,65,WAKE,63,W,7.5,L,114.5,O
6,"Jan 20, 2020",NCST,53,VIRGA,51,L,-6.0,L,117.5,U
7,"Jan 18, 2020",VIRGA,63,GATEC,58,W,2.0,W,110.0,O
8,"Jan 15, 2020",VIRGA,50,FLAST,54,L,-6.5,W,113.5,U
9,"Jan 11, 2020",SYRA,63,VIRGA,55,L,-7.0,L,114.5,O
10,"Jan 7, 2020",VIRGA,53,BC,60,L,10.0,L,111.0,O
11,"Jan 4, 2020",VATEC,39,VIRGA,65,W,-6.5,W,112.5,U
12,"Dec 29, 2019",NAVY,56,VIRGA,65,W,-17.5,L,100.5,O
13,"Dec 22, 2019",S.CAR,70,VIRGA,59,L,-10.5,L,111.5,O
14,"Dec 18, 2019",STONY,44,VIRGA,56,W,-16.5,L,105.0,U
15,"Dec 8, 2019",UNC,47,VIRGA,56,W,-4.0,W,113.5,U
16,"Dec 4, 2019",VIRGA,40,PURDU,69,L,-2.5,L,102.5,O
17,"Nov 27, 2019",MAINE,26,VIRGA,46,W,-27.0,L,104.5,U
18,"Nov 24, 2019",VIRGA,48,ARZST,45,W,7.5,L,124.5,U
19,"Nov 23, 2019",UMASS,46,VIRGA,58,W,-15.5,L,117.5,U
20,"Nov 19, 2019",VERMT,55,VIRGA,61,W,-15.0,L,109.5,O
21,"Nov 16, 2019",COLUM,42,VIRGA,60,W,-23.0,L,115.5,U
22,"Nov 10, 2019",JMU,34,VIRGA,65,W,-24.5,W,121.5,U
23,"Nov 6, 2019",VIRGA,48,SYRA,34,W,3.0,W,121.5,U
24,"Apr 8, 2019",TEXTK,77,VIRGA,85,W,-1.5,W,119.5,O
25,"Apr 6, 2019",AUBRN,62,VIRGA,63,W,-6.0,L,132.0,U
26,"Mar 30, 2019",PURDU,75,VIRGA,80,W,-4.5,W,127.5,O
27,"Mar 28, 2019",OREG,49,VIRGA,53,W,-8.5,L,119.0,U
28,"Mar 24, 2019",OKLA,51,VIRGA,63,W,-10.5,W,126.5,U
29,"Mar 22, 2019",G.WEB,56,VIRGA,71,W,-22.5,L,128.0,U
