,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 19, 2020",GATEC,86,WAKE,79,L,-1.5,L,139.5,O
1,"Feb 15, 2020",WAKE,54,MIAMI,71,L,-4.0,L,149.5,U
2,"Feb 11, 2020",UNC,57,WAKE,74,W,2.0,W,149.5,U
3,"Feb 8, 2020",WAKE,73,SYRA,75,L,-9.5,W,148.0,P
4,"Feb 5, 2020",WAKE,76,LOUIS,86,L,-15.5,W,142.0,O
5,"Feb 1, 2020",CLEMS,44,WAKE,56,W,2.0,W,138.5,U
6,"Jan 29, 2020",WAKE,80,ND,90,L,-9.0,L,146.5,O
7,"Jan 26, 2020",VIRGA,65,WAKE,63,L,7.5,W,114.5,O
8,"Jan 21, 2020",WAKE,68,CLEMS,71,L,-9.5,W,137.0,O
9,"Jan 19, 2020",BC,62,WAKE,80,W,-6.0,W,140.0,O
10,"Jan 14, 2020",VATEC,80,WAKE,70,L,3.5,L,137.0,O
11,"Jan 11, 2020",WAKE,59,DUKE,90,L,-20.0,L,146.0,O
12,"Jan 8, 2020",FLAST,78,WAKE,68,L,8.0,L,142.0,O
13,"Jan 4, 2020",WAKE,69,PITT,65,W,-6.5,W,134.0,P
14,"Dec 21, 2019",NCA&T,64,WAKE,76,W,-19.0,L,137.0,O
15,"Dec 14, 2019",XAVIR,78,WAKE,80,W,6.0,W,142.5,O
16,"Dec 7, 2019",NCST,91,WAKE,82,L,5.5,L,146.0,O
17,"Dec 4, 2019",WAKE,54,PENST,76,L,-12.0,L,145.0,U
18,"Dec 1, 2019",WAKE,66,ARIZ,73,L,-12.5,W,148.5,U
19,"Nov 29, 2019",LONGB,75,WAKE,88,W,-8.0,W,144.0,O
20,"Nov 28, 2019",WAKE,65,COLCH,56,W,-2.5,W,140.0,U
21,"Nov 22, 2019",WAKE,82,DAVID,70,W,-9.0,W,145.0,O
22,"Nov 17, 2019",WAKE,65,CHARL,67,L,2.5,L,140.5,U
23,"Nov 13, 2019",NCASH,79,WAKE,98,W,-13.0,W,145.0,O
24,"Nov 10, 2019",COLUM,63,WAKE,65,W,-8.5,L,146.0,U
25,"Nov 6, 2019",WAKE,70,BC,77,L,-2.5,L,143.0,O
26,"Mar 12, 2019",WAKE,71,MIAMI,79,L,-7.5,L,141.0,O
27,"Mar 9, 2019",FLAST,65,WAKE,57,L,12.0,W,141.5,U
28,"Mar 5, 2019",WAKE,70,DUKE,71,L,-24.5,W,153.0,U
29,"Mar 2, 2019",SYRA,79,WAKE,54,L,7.5,L,137.0,U
