,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 15, 2020",WASST,51,USC,70,L,-7.0,L,141.5,U
1,"Feb 13, 2020",WASST,83,UCLA,86,L,-7.5,W,136.5,O
2,"Feb 9, 2020",WASH,67,WASST,79,W,3.0,W,137.5,O
3,"Feb 1, 2020",ARIZ,66,WASST,49,L,8.5,L,143.5,U
4,"Jan 29, 2020",ARZST,65,WASST,67,W,2.0,W,146.0,U
5,"Jan 25, 2020",WASST,64,UTAH,76,L,-7.0,L,144.5,U
6,"Jan 23, 2020",WASST,56,COLO,78,L,-13.5,L,139.0,U
7,"Jan 18, 2020",OREST,76,WASST,89,W,3.5,W,139.0,O
8,"Jan 16, 2020",OREG,61,WASST,72,W,9.5,W,139.5,U
9,"Jan 11, 2020",WASST,62,STANF,88,L,-9.0,L,134.0,O
10,"Jan 9, 2020",WASST,66,CAL,73,L,-2.0,L,133.0,O
11,"Jan 4, 2020",UCLA,71,WASST,79,W,2.0,W,138.0,O
12,"Jan 2, 2020",USC,65,WASST,56,L,3.5,L,146.5,U
13,"Dec 29, 2019",ARKPB,50,WASST,65,W,-25.5,L,134.0,U
14,"Dec 21, 2019",INCAR,59,WASST,87,W,-21.5,W,139.5,O
15,"Dec 19, 2019",FLA&M,73,WASST,87,W,-19.0,L,136.5,O
16,"Dec 15, 2019",UCRIV,56,WASST,70,W,-8.5,W,135.0,U
17,"Dec 7, 2019",NMXST,54,WASST,63,W,4.0,W,135.0,U
18,"Dec 4, 2019",WASST,78,IDAHO,65,W,13.5,L,139.5,O
19,"Nov 27, 2019",COLST,79,WASST,69,L,0.0,L,140.0,O
20,"Nov 26, 2019",OLDDO,50,WASST,66,W,2.5,W,128.5,U
21,"Nov 25, 2019",WASST,71,NEBRS,82,L,-1.0,L,143.0,O
22,"Nov 21, 2019",NEBOM,85,WASST,77,L,-10.0,L,141.5,O
23,"Nov 17, 2019",ID.ST,61,WASST,72,W,-14.5,L,135.0,U
24,"Nov 12, 2019",WASST,62,SACLA,70,L,-3.0,L,135.0,U
25,"Nov 7, 2019",SEATT,54,WASST,85,W,-3.0,W,138.0,O
26,"Mar 13, 2019",WASST,51,OREG,84,L,-12.0,L,137.0,U
27,"Mar 9, 2019",OREST,85,WASST,77,L,6.0,L,152.0,O
28,"Mar 6, 2019",OREG,72,WASST,61,L,6.5,L,143.5,U
29,"Mar 2, 2019",WASST,69,CAL,76,L,-1.0,L,153.5,U
