,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 15, 2020",WASH,57,UCLA,67,L,-3.5,L,134.5,U
1,"Feb 13, 2020",WASH,56,USC,62,L,-2.5,L,138.5,U
2,"Feb 9, 2020",WASH,67,WASST,79,L,3.0,L,137.5,O
3,"Feb 1, 2020",ARZST,87,WASH,83,L,-5.5,L,137.0,O
4,"Jan 30, 2020",ARIZ,75,WASH,72,L,2.0,L,133.5,O
5,"Jan 25, 2020",WASH,62,COLO,76,L,-8.0,L,130.5,O
6,"Jan 23, 2020",WASH,66,UTAH,67,L,1.0,L,133.5,U
7,"Jan 18, 2020",OREG,64,WASH,61,L,2.5,L,129.5,U
8,"Jan 16, 2020",OREST,56,WASH,64,W,-3.5,W,136.0,U
9,"Jan 11, 2020",WASH,58,CAL,61,L,6.5,L,130.5,U
10,"Jan 9, 2020",WASH,55,STANF,61,L,-3.0,L,131.0,U
11,"Jan 5, 2020",USC,40,WASH,72,W,-5.0,W,140.5,U
12,"Jan 2, 2020",UCLA,66,WASH,64,L,-8.5,L,138.0,U
13,"Dec 25, 2019",HOUST,75,WASH,71,L,2.5,L,138.5,O
14,"Dec 23, 2019",WASH,72,HAWAI,61,W,7.0,W,144.0,U
15,"Dec 22, 2019",BALL,64,WASH,85,W,-6.5,W,134.5,O
16,"Dec 17, 2019",SEATT,59,WASH,81,W,-15.5,W,140.0,P
17,"Dec 8, 2019",GONZG,83,WASH,76,L,4.5,L,144.0,O
18,"Dec 4, 2019",EWASH,80,WASH,90,W,-15.5,L,147.5,O
19,"Dec 2, 2019",SDKOTA,55,WASH,75,W,-13.5,W,141.0,U
20,"Nov 24, 2019",SD,69,WASH,88,W,-15.0,W,129.0,O
21,"Nov 22, 2019",MONTA,56,WASH,73,W,-13.5,W,129.5,U
22,"Nov 19, 2019",MAINE,53,WASH,72,W,-24.0,L,127.5,U
23,"Nov 16, 2019",WASH,62,TENN,75,L,-1.0,L,132.5,O
24,"Nov 12, 2019",MTSTM,46,WASH,56,W,-22.0,L,137.0,U
25,"Nov 8, 2019",BAYLR,64,WASH,67,W,5.0,W,135.5,U
26,"Mar 24, 2019",WASH,59,UNC,81,L,-11.5,L,152.0,U
27,"Mar 22, 2019",WASH,78,UT.ST,61,W,-3.5,W,136.0,O
28,"Mar 16, 2019",OREG,68,WASH,48,L,2.0,L,121.0,U
29,"Mar 15, 2019",COLO,61,WASH,66,W,-3.0,W,130.5,U
