,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 15, 2020",WEBER,63,MONST,77,L,-5.0,L,133.0,O
1,"Feb 13, 2020",WEBER,37,MONTA,72,L,-8.0,L,140.0,U
2,"Feb 8, 2020",NARIZ,70,WEBER,76,W,-2.5,W,143.5,O
3,"Feb 6, 2020",SACRA,66,WEBER,70,W,0.0,W,124.0,O
4,"Feb 1, 2020",WEBER,52,NCOLO,70,L,-10.5,L,137.0,U
5,"Jan 30, 2020",WEBER,75,SUTAH,65,W,-8.5,W,137.5,O
6,"Jan 25, 2020",MONTA,85,WEBER,87,W,2.0,W,134.0,O
7,"Jan 23, 2020",MONST,62,WEBER,61,L,-3.5,L,133.5,U
8,"Jan 20, 2020",WEBER,76,PORST,92,L,-3.5,L,145.5,O
9,"Jan 16, 2020",WEBER,76,ID.ST,68,W,1.0,W,133.5,O
10,"Jan 11, 2020",WEBER,57,SACRA,71,L,-5.0,L,121.5,O
11,"Jan 9, 2020",NCOLO,65,WEBER,64,L,2.5,W,135.0,U
12,"Jan 4, 2020",WEBER,64,NARIZ,72,L,-4.0,L,139.0,U
13,"Dec 30, 2019",IDAHO,68,WEBER,69,W,-9.5,L,135.5,O
14,"Dec 28, 2019",EWASH,79,WEBER,77,L,2.5,W,148.0,O
15,"Dec 21, 2019",WEBER,61,BYU,91,L,-17.5,L,137.0,O
16,"Dec 17, 2019",BTHSD,62,WEBER,109,W,0.0,,0.0,
17,"Dec 14, 2019",WEBER,49,UTAH,60,L,-9.0,L,143.0,U
18,"Dec 7, 2019",WESTCL,46,WEBER,86,W,0.0,,0.0,
19,"Dec 4, 2019",WEBER,72,UTVAL,67,W,-4.0,W,137.5,O
20,"Nov 27, 2019",NEAST,79,WEBER,69,L,5.5,L,127.0,O
21,"Nov 26, 2019",WEBER,68,MURRAY,69,L,-7.5,W,128.0,O
22,"Nov 25, 2019",WRIGH,72,WEBER,57,L,8.0,L,138.5,U
23,"Nov 19, 2019",WCBAP,50,WEBER,130,W,0.0,,0.0,
24,"Nov 14, 2019",SD,71,WEBER,56,L,-2.5,L,136.5,U
25,"Nov 8, 2019",WEBER,34,UT.ST,89,L,-16.5,L,144.5,U
26,"Mar 15, 2019",WEBER,49,MONTA,78,L,-4.5,L,147.0,U
27,"Mar 14, 2019",PORST,71,WEBER,81,W,-3.5,W,156.0,U
28,"Mar 9, 2019",EWASH,80,WEBER,77,L,-5.0,L,151.0,O
29,"Mar 7, 2019",IDAHO,59,WEBER,93,W,-17.0,W,149.5,O
