,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 18, 2020",OKST,47,W.VA,65,W,-10.5,W,135.5,U
1,"Feb 15, 2020",W.VA,59,BAYLR,70,L,-5.0,L,129.5,U
2,"Feb 12, 2020",KANSA,58,W.VA,49,L,-1.5,L,134.0,U
3,"Feb 8, 2020",W.VA,59,OKLA,69,L,2.5,L,140.0,U
4,"Feb 5, 2020",IOWAS,61,W.VA,76,W,-10.5,W,143.5,U
5,"Feb 1, 2020",KANST,57,W.VA,66,W,-13.5,L,135.0,U
6,"Jan 29, 2020",W.VA,81,TEXTK,89,L,-2.5,L,132.5,O
7,"Jan 25, 2020",MIZZU,51,W.VA,74,W,-12.0,W,135.0,U
8,"Jan 20, 2020",TEXAS,59,W.VA,97,W,-9.0,W,130.0,O
9,"Jan 18, 2020",W.VA,68,KANST,84,L,6.5,L,125.0,O
10,"Jan 14, 2020",TCU,49,W.VA,81,W,-7.5,W,127.0,O
11,"Jan 11, 2020",TEXTK,54,W.VA,66,W,-4.5,W,130.5,U
12,"Jan 6, 2020",W.VA,55,OKST,41,W,0.0,,137.0,U
13,"Jan 4, 2020",W.VA,53,KANSA,60,L,-10.0,W,141.5,U
14,"Dec 29, 2019",W.VA,67,OHIOS,59,W,-6.0,W,136.0,U
15,"Dec 21, 2019",W.VA,75,YOUNG,64,W,12.5,L,141.5,U
16,"Dec 14, 2019",NICHL,57,W.VA,83,W,-19.5,W,143.0,U
17,"Dec 12, 2019",APEAY,53,W.VA,84,W,-15.0,W,145.5,U
18,"Dec 7, 2019",W.VA,68,STJON,70,L,4.0,L,150.5,U
19,"Dec 1, 2019",RHODEI,81,W.VA,86,W,-10.5,L,140.5,O
20,"Nov 27, 2019",WICHI,63,W.VA,75,W,-1.0,W,127.0,O
21,"Nov 26, 2019",NIOWA,55,W.VA,60,W,-6.0,L,124.5,U
22,"Nov 22, 2019",BOSTU,44,W.VA,69,W,-16.0,W,141.0,U
23,"Nov 18, 2019",NCOLO,61,W.VA,69,W,-16.0,L,140.0,U
24,"Nov 15, 2019",W.VA,68,PITT,53,W,2.5,W,139.5,U
25,"Nov 8, 2019",AKRON,84,W.VA,94,W,-11.5,L,144.5,O
26,"Mar 25, 2019",W.VA,91,COCAR,109,L,10.5,L,157.5,O
27,"Mar 20, 2019",GRCNYN,63,W.VA,77,W,-5.5,W,154.0,U
28,"Mar 15, 2019",W.VA,74,KANSA,88,L,-9.5,L,147.0,O
29,"Mar 14, 2019",W.VA,79,TEXTK,74,W,-13.0,W,137.5,O
