,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 19, 2020",VMI,74,W.CAR,71,L,-9.0,L,153.0,U
1,"Feb 15, 2020",W.CAR,80,WOFFD,74,W,-6.5,W,150.0,O
2,"Feb 12, 2020",W.CAR,62,NCGRE,82,L,-11.5,L,146.5,U
3,"Feb 8, 2020",FURMN,82,W.CAR,73,L,4.5,L,155.5,U
4,"Feb 5, 2020",W.CAR,78,SAMFD,70,W,4.0,W,165.5,U
5,"Feb 1, 2020",W.CAR,64,CHATT,61,W,-3.5,W,151.0,U
6,"Jan 29, 2020",NCGRE,72,W.CAR,58,L,5.5,L,148.0,U
7,"Jan 25, 2020",WOFFD,72,W.CAR,81,W,-1.5,W,146.0,O
8,"Jan 22, 2020",W.CAR,79,MERCR,85,L,-2.0,L,154.0,O
9,"Jan 18, 2020",E.TEN,85,W.CAR,66,L,4.5,L,146.5,O
10,"Jan 15, 2020",W.CAR,79,FURMN,83,L,-11.5,W,151.5,O
11,"Jan 11, 2020",MERCR,71,W.CAR,79,W,-7.0,W,153.5,U
12,"Jan 8, 2020",W.CAR,97,VMI,85,W,3.5,W,154.0,O
13,"Jan 4, 2020",W.CAR,86,CITDL,82,W,6.5,L,165.0,O
14,"Dec 28, 2019",PIEDMT,47,W.CAR,108,W,0.0,,0.0,
15,"Dec 21, 2019",W.CAR,89,TNTEC,76,W,6.0,W,141.5,O
16,"Dec 18, 2019",W.CAR,61,XAVIR,74,L,-14.5,W,147.0,U
17,"Dec 7, 2019",NCASH,77,W.CAR,78,W,-6.5,L,160.0,U
18,"Dec 3, 2019",CHATT,77,W.CAR,87,W,-4.0,W,142.5,O
19,"Nov 27, 2019",BRYAN,54,W.CAR,78,W,0.0,,0.0,
20,"Nov 24, 2019",W.CAR,70,STETS,64,W,10.0,L,142.0,U
21,"Nov 21, 2019",W.CAR,96,JAXVL,94,W,2.5,L,141.5,O
22,"Nov 15, 2019",W.CAR,74,FLAST,79,L,-19.0,W,148.5,O
23,"Nov 12, 2019",NCA&T,64,W.CAR,90,W,-10.0,W,142.0,O
24,"Nov 9, 2019",G.WEB,59,W.CAR,71,W,-1.5,W,151.5,U
25,"Nov 5, 2019",W.CAR,72,GA,91,L,-15.5,L,158.5,O
26,"Mar 8, 2019",W.CAR,83,VMI,96,L,0.0,L,157.0,O
27,"Mar 2, 2019",W.CAR,74,E.TEN,81,L,-19.0,W,149.0,O
28,"Feb 23, 2019",VMI,83,W.CAR,78,L,-5.0,L,156.5,O
29,"Feb 21, 2019",W.CAR,76,NCGRE,79,L,-16.5,W,144.0,O
