,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 15, 2020",NDAKOT,86,W.ILL,83,L,2.0,L,152.5,O
1,"Feb 12, 2020",W.ILL,72,SDKOTA,85,L,-14.5,W,157.5,U
2,"Feb 5, 2020",W.ILL,69,IPFW,75,L,-8.0,W,148.0,U
3,"Feb 1, 2020",SD.ST,71,W.ILL,61,L,9.5,L,155.0,U
4,"Jan 30, 2020",ND.ST,70,W.ILL,49,L,9.0,L,150.0,U
5,"Jan 25, 2020",W.ILL,77,NDAKOT,83,L,-9.0,W,154.0,O
6,"Jan 23, 2020",W.ILL,82,NEBOM,87,L,-12.0,W,158.0,O
7,"Jan 16, 2020",ORALR,87,W.ILL,70,L,7.5,L,161.0,U
8,"Jan 11, 2020",DENVR,80,W.ILL,86,W,-4.5,W,153.5,O
9,"Jan 8, 2020",IPFW,77,W.ILL,69,L,2.5,L,154.0,U
10,"Jan 4, 2020",W.ILL,56,SD.ST,91,L,-12.0,L,155.5,U
11,"Jan 2, 2020",W.ILL,74,ND.ST,94,L,-12.5,L,148.5,O
12,"Dec 29, 2019",SDKOTA,75,W.ILL,82,W,6.0,W,148.0,O
13,"Dec 16, 2019",E.ILL,85,W.ILL,47,L,1.5,L,152.0,U
14,"Dec 4, 2019",W.ILL,86,EVANS,90,L,-11.0,W,151.0,O
15,"Nov 30, 2019",W.ILL,67,UMKC,68,L,-7.5,W,143.5,U
16,"Nov 26, 2019",W.ILL,69,BALL,62,W,-14.5,W,145.0,U
17,"Nov 23, 2019",CCCB,62,W.ILL,113,W,0.0,,0.0,
18,"Nov 20, 2019",N.ILL,86,W.ILL,81,L,7.0,W,146.5,O
19,"Nov 13, 2019",TNMAR,98,W.ILL,91,L,0.0,L,151.5,O
20,"Nov 9, 2019",STETS,77,W.ILL,75,L,-6.5,L,148.5,O
21,"Nov 5, 2019",W.ILL,65,INDY,98,L,-21.5,L,143.0,O
22,"Mar 11, 2019",W.ILL,73,ND.ST,76,L,-6.5,W,138.0,O
23,"Mar 9, 2019",W.ILL,79,SD.ST,76,W,-15.0,W,149.0,O
24,"Mar 2, 2019",W.ILL,66,SD.ST,86,L,-17.0,L,152.5,U
25,"Feb 28, 2019",W.ILL,46,DENVR,74,L,-3.0,L,141.0,U
26,"Feb 23, 2019",ORALR,66,W.ILL,75,W,-2.0,W,145.0,U
27,"Feb 20, 2019",W.ILL,63,NEBOM,77,L,-10.0,L,150.5,U
28,"Feb 16, 2019",SDKOTA,80,W.ILL,67,L,-1.0,L,135.5,O
29,"Feb 7, 2019",W.ILL,64,IPFW,79,L,-8.0,L,155.5,U
