,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 18, 2020",AKRON,71,WMICH,67,L,8.0,W,141.0,U
1,"Feb 15, 2020",WMICH,51,EMICH,69,L,-5.5,L,128.5,U
2,"Feb 11, 2020",WMICH,61,OHIO,73,L,-7.0,L,139.0,U
3,"Feb 8, 2020",BALL,64,WMICH,68,W,5.5,W,133.0,U
4,"Feb 4, 2020",WMICH,64,MIAOH,60,W,-5.0,W,142.5,U
5,"Feb 1, 2020",CMICH,85,WMICH,78,L,1.5,L,153.5,O
6,"Jan 25, 2020",WMICH,52,N.ILL,58,L,-5.5,L,134.0,U
7,"Jan 21, 2020",WMICH,79,BUFF,90,L,-10.0,L,154.0,O
8,"Jan 18, 2020",KENT,63,WMICH,67,W,5.5,W,144.5,U
9,"Jan 14, 2020",BOWLG,85,WMICH,82,L,4.0,W,146.0,O
10,"Jan 11, 2020",WMICH,59,TOLDO,67,L,-11.5,W,144.5,U
11,"Jan 7, 2020",WMICH,69,AKRON,84,L,-11.5,L,139.5,O
12,"Jan 4, 2020",OHIO,65,WMICH,77,W,1.5,W,137.0,O
13,"Dec 29, 2019",WMICH,62,MICHS,95,L,-25.0,L,142.5,O
14,"Dec 18, 2019",AQUIN,61,WMICH,84,W,0.0,,0.0,
15,"Dec 14, 2019",WMICH,59,MANHT,58,W,-4.0,W,129.0,U
16,"Dec 7, 2019",YOUNG,64,WMICH,66,W,-2.0,P,140.5,U
17,"Dec 3, 2019",OAKLN,72,WMICH,62,L,1.0,L,126.0,O
18,"Nov 26, 2019",WMICH,55,SEATT,59,L,0.0,,135.5,U
19,"Nov 25, 2019",YALE,73,WMICH,51,L,7.0,L,135.5,U
20,"Nov 22, 2019",WMICH,63,OKST,70,L,-18.5,W,142.0,U
21,"Nov 19, 2019",ALMA,56,WMICH,102,W,0.0,,0.0,
22,"Nov 15, 2019",WMICH,58,MISS,85,L,-19.5,L,136.5,O
23,"Nov 12, 2019",MSVAL,81,WMICH,91,W,-28.5,L,163.5,O
24,"Nov 9, 2019",WMICH,115,WISML,110,W,-2.0,W,140.5,O
25,"Nov 6, 2019",MCNEE,65,WMICH,75,W,-7.5,W,145.0,U
26,"Mar 11, 2019",WMICH,67,CMICH,81,L,-8.5,L,154.0,U
27,"Mar 8, 2019",CMICH,82,WMICH,75,L,3.0,L,152.5,O
28,"Mar 5, 2019",WMICH,57,TOLDO,76,L,-16.0,L,144.5,U
29,"Mar 2, 2019",BALL,60,WMICH,58,L,5.0,W,147.0,U
