,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 16, 2020",TULAN,57,WICHI,82,W,-15.5,W,136.0,O
1,"Feb 13, 2020",WICHI,75,UCF,58,W,3.5,W,134.0,U
2,"Feb 9, 2020",WICHI,43,HOUST,76,L,-5.0,L,134.0,U
3,"Feb 6, 2020",CINCY,80,WICHI,79,L,-5.0,L,133.5,O
4,"Feb 1, 2020",WICHI,51,TULSA,54,L,2.5,L,131.5,U
5,"Jan 25, 2020",UCF,79,WICHI,87,W,-11.5,L,131.5,O
6,"Jan 21, 2020",WICHI,56,S.FLA,43,W,5.0,W,126.5,U
7,"Jan 18, 2020",HOUST,65,WICHI,54,L,-4.0,L,138.0,U
8,"Jan 15, 2020",WICHI,53,TEMPL,65,L,4.5,L,137.5,U
9,"Jan 12, 2020",WICHI,89,UCONN,86,W,3.5,L,132.0,O
10,"Jan 9, 2020",MEMPH,67,WICHI,76,W,-5.5,W,142.0,O
11,"Jan 4, 2020",MISS,54,WICHI,74,W,-7.5,W,139.5,U
12,"Jan 1, 2020",E.CAR,69,WICHI,75,W,-19.0,L,140.5,O
13,"Dec 29, 2019",ABILE,66,WICHI,84,W,-21.5,L,134.5,O
14,"Dec 21, 2019",VACOM,63,WICHI,73,W,-5.0,W,135.5,O
15,"Dec 14, 2019",OKLA,75,WICHI,80,W,-4.5,W,144.0,O
16,"Dec 8, 2019",WICHI,80,OKST,61,W,-3.5,W,135.0,O
17,"Dec 5, 2019",C.ARK,69,WICHI,95,W,-24.5,W,140.5,O
18,"Nov 27, 2019",WICHI,63,W.VA,75,L,-1.0,L,127.0,O
19,"Nov 26, 2019",WICHI,70,S.CAR,47,W,4.0,W,129.5,U
20,"Nov 23, 2019",ORALR,59,WICHI,68,W,-16.5,L,140.5,U
21,"Nov 19, 2019",G.WEB,52,WICHI,74,W,-15.5,W,132.0,U
22,"Nov 16, 2019",TNMAR,62,WICHI,103,W,-16.0,W,146.0,O
23,"Nov 9, 2019",TEXSO,63,WICHI,69,W,-20.5,L,146.5,U
24,"Nov 5, 2019",NEBOM,54,WICHI,68,W,-15.0,L,148.0,U
25,"Apr 2, 2019",WICHI,64,LIPSC,71,L,-1.0,L,150.0,U
26,"Mar 26, 2019",WICHI,73,INDY,63,W,-3.5,W,139.0,U
27,"Mar 24, 2019",WICHI,63,CLEMS,55,W,-6.5,W,137.5,U
28,"Mar 20, 2019",WICHI,76,FURMN,70,W,-4.5,W,143.0,O
29,"Mar 16, 2019",WICHI,63,CINCY,66,L,-5.0,W,128.5,O
