,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 15, 2020",WINTH,89,PRESB,88,W,9.5,L,147.0,O
1,"Feb 13, 2020",WINTH,70,G.WEB,74,L,5.0,L,142.5,O
2,"Feb 10, 2020",RADFD,81,WINTH,77,L,-7.5,L,141.5,O
3,"Feb 8, 2020",WINTH,70,LONGW,68,W,9.5,L,147.0,U
4,"Feb 6, 2020",CAMBP,53,WINTH,62,W,-15.5,L,144.0,U
5,"Feb 1, 2020",NCASH,71,WINTH,104,W,-13.0,W,153.0,O
6,"Jan 30, 2020",WINTH,77,CHASO,60,W,7.0,W,144.0,U
7,"Jan 25, 2020",PRESB,57,WINTH,72,W,-16.0,L,146.0,U
8,"Jan 23, 2020",USCUP,53,WINTH,79,W,-15.5,W,148.0,U
9,"Jan 20, 2020",WINTH,61,RADFD,56,W,-1.5,W,146.0,U
10,"Jan 16, 2020",WINTH,116,HAMPT,95,W,8.0,W,156.5,O
11,"Jan 11, 2020",G.WEB,95,WINTH,99,W,-8.5,L,145.0,O
12,"Jan 8, 2020",WINTH,79,HIGHP,57,W,11.0,W,146.0,U
13,"Jan 4, 2020",WINTH,87,CAMBP,72,W,2.5,W,139.0,O
14,"Jan 2, 2020",LONGW,67,WINTH,91,W,-11.5,W,147.5,O
15,"Dec 21, 2019",ELON,80,WINTH,85,W,-14.0,L,137.5,O
16,"Dec 17, 2019",SIUED,73,WINTH,93,W,-14.5,W,139.0,O
17,"Dec 14, 2019",WINTH,73,FURMN,80,L,-9.0,W,143.0,O
18,"Dec 11, 2019",WINTH,60,TCU,70,L,-12.5,W,137.5,U
19,"Dec 7, 2019",COCAR,92,WINTH,88,L,-6.0,L,144.0,O
20,"Nov 29, 2019",WINTH,70,DUKE,83,L,-24.5,W,141.0,O
21,"Nov 25, 2019",PFEIF,83,WINTH,127,W,0.0,,0.0,
22,"Nov 21, 2019",TNTEC,61,WINTH,58,L,-15.0,L,130.5,U
23,"Nov 16, 2019",MIDATL,59,WINTH,103,W,0.0,,0.0,
24,"Nov 14, 2019",WINTH,58,E.TEN,61,L,-11.5,W,149.0,U
25,"Nov 11, 2019",WINTH,61,STMAR,59,W,-19.0,W,141.5,U
26,"Nov 10, 2019",WINTH,74,FRSNO,77,L,-10.0,W,144.0,O
27,"Nov 7, 2019",WINTH,67,HARTF,57,W,3.0,W,155.0,U
28,"Mar 7, 2019",CHASO,77,WINTH,63,L,1.0,L,155.0,U
29,"Feb 28, 2019",WINTH,75,HAMPT,90,L,-1.5,L,167.5,U
