,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 18, 2020",PURDU,65,WISCN,69,W,-4.0,P,121.5,O
1,"Feb 15, 2020",WISCN,81,NEBRS,64,W,6.5,W,137.0,O
2,"Feb 9, 2020",OHIOS,57,WISCN,70,W,-1.0,W,123.0,O
3,"Feb 5, 2020",WISCN,52,MINN,70,L,-3.5,L,127.0,U
4,"Feb 1, 2020",MICHS,63,WISCN,64,W,5.5,W,127.0,P
5,"Jan 27, 2020",WISCN,62,IOWA,68,L,-6.0,P,135.0,U
6,"Jan 24, 2020",WISCN,51,PURDU,70,L,-4.0,L,116.5,O
7,"Jan 21, 2020",NEBRS,68,WISCN,82,W,-16.0,L,131.0,O
8,"Jan 17, 2020",WISCN,55,MICHS,67,L,-9.5,L,130.5,U
9,"Jan 14, 2020",MARYL,54,WISCN,56,W,-2.5,L,125.5,U
10,"Jan 11, 2020",WISCN,58,PENST,49,W,-4.5,W,132.5,U
11,"Jan 8, 2020",ILL,71,WISCN,70,L,-4.0,L,127.0,O
12,"Jan 3, 2020",WISCN,61,OHIOS,57,W,-7.5,W,125.0,U
13,"Dec 31, 2019",RIDER,37,WISCN,65,W,-13.0,W,136.5,U
14,"Dec 28, 2019",WISCN,68,TENN,48,W,-4.0,W,121.5,U
15,"Dec 21, 2019",WISML,64,WISCN,83,W,-16.0,W,128.5,O
16,"Dec 11, 2019",WISCN,65,RUTGR,72,L,-1.0,L,125.0,O
17,"Dec 7, 2019",INDY,64,WISCN,84,W,1.5,W,127.0,O
18,"Dec 4, 2019",WISCN,54,NCST,69,L,-5.5,L,133.5,U
19,"Nov 26, 2019",WISCN,50,NEWMX,59,L,6.5,L,134.0,U
20,"Nov 25, 2019",WISCN,52,RICHM,62,L,6.0,L,135.5,U
21,"Nov 21, 2019",WISGB,70,WISCN,88,W,-18.5,L,141.0,O
22,"Nov 17, 2019",MARQ,61,WISCN,77,W,-2.0,W,129.5,O
23,"Nov 13, 2019",MCNEE,63,WISCN,83,W,-22.5,L,129.5,O
24,"Nov 8, 2019",E.ILL,52,WISCN,65,W,-19.0,L,135.0,U
25,"Nov 5, 2019",STMAR,65,WISCN,63,L,4.0,W,129.0,U
26,"Mar 22, 2019",OREG,72,WISCN,54,L,-1.5,L,117.0,O
27,"Mar 16, 2019",WISCN,55,MICHS,67,L,-5.5,L,128.0,U
28,"Mar 15, 2019",NEBRS,62,WISCN,66,W,-8.0,L,127.0,O
29,"Mar 10, 2019",WISCN,73,OHIOS,67,W,4.5,W,121.5,O
