,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 16, 2020",IUPUI,66,WRIGH,106,W,-16.5,W,156.5,O
1,"Feb 14, 2020",ILCHI,58,WRIGH,75,W,-11.5,W,148.0,U
2,"Feb 8, 2020",OAKLN,71,WRIGH,83,W,-10.0,W,147.0,O
3,"Feb 6, 2020",DETRT,86,WRIGH,98,W,-12.0,P,153.0,O
4,"Feb 2, 2020",WRIGH,89,WISGB,92,L,4.5,L,164.0,O
5,"Jan 31, 2020",WRIGH,65,WISML,61,W,5.5,L,150.0,U
6,"Jan 24, 2020",N.KENT,63,WRIGH,95,W,-4.0,W,143.0,O
7,"Jan 18, 2020",YOUNG,72,WRIGH,79,W,-11.0,L,146.0,O
8,"Jan 16, 2020",CLEST,62,WRIGH,75,W,-15.5,L,142.5,U
9,"Jan 12, 2020",WRIGH,72,ILCHI,76,L,6.5,L,143.5,O
10,"Jan 10, 2020",WRIGH,84,IUPUI,70,W,10.5,W,154.5,U
11,"Jan 5, 2020",WRIGH,70,DETRT,69,W,8.5,L,154.5,U
12,"Jan 3, 2020",WRIGH,96,OAKLN,69,W,3.5,W,140.5,O
13,"Dec 30, 2019",WISML,70,WRIGH,82,W,-12.0,P,146.0,O
14,"Dec 28, 2019",WISGB,84,WRIGH,90,W,-10.5,L,159.0,O
15,"Dec 21, 2019",WRIGH,79,TOLDO,72,W,-5.0,W,146.0,O
16,"Dec 17, 2019",MSVAL,50,WRIGH,92,W,-29.0,W,155.0,U
17,"Dec 12, 2019",SUTHR,62,WRIGH,85,W,-16.0,W,143.5,O
18,"Dec 7, 2019",INDST,84,WRIGH,77,L,-5.0,L,145.5,O
19,"Dec 3, 2019",W.KEN,74,WRIGH,76,W,3.0,W,144.5,O
20,"Nov 27, 2019",MIAOH,66,WRIGH,71,W,-2.5,W,141.0,U
21,"Nov 26, 2019",WRIGH,70,LASAL,72,L,7.5,L,137.0,O
22,"Nov 25, 2019",WRIGH,72,WEBER,57,W,8.0,W,138.5,U
23,"Nov 20, 2019",URBANA,51,WRIGH,88,W,0.0,,0.0,
24,"Nov 16, 2019",KENT,72,WRIGH,71,L,-5.5,L,144.5,U
25,"Nov 12, 2019",WRIGH,85,TNTEC,80,W,10.0,L,142.0,O
26,"Nov 9, 2019",WRIGH,88,MIAOH,81,W,2.0,W,133.5,O
27,"Nov 5, 2019",CENTST,77,WRIGH,96,W,0.0,,0.0,
28,"Mar 19, 2019",WRIGH,69,CLEMS,75,L,-12.0,W,130.5,O
29,"Mar 12, 2019",N.KENT,77,WRIGH,66,L,-1.0,L,133.0,O
