,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 15, 2020",COLST,77,WYOM,70,L,9.5,W,135.0,O
1,"Feb 8, 2020",WYOM,68,NEWMX,97,L,-9.5,L,139.0,O
2,"Feb 4, 2020",BOISE,67,WYOM,62,L,9.5,W,134.0,U
3,"Feb 1, 2020",WYOM,71,SJ.ST,66,W,-4.0,W,134.5,O
4,"Jan 28, 2020",UT.ST,68,WYOM,45,L,13.5,L,127.5,U
5,"Jan 21, 2020",WYOM,55,SD.ST,72,L,-23.0,W,122.5,O
6,"Jan 18, 2020",FRSNO,65,WYOM,50,L,6.0,L,120.0,U
7,"Jan 14, 2020",WYOM,67,NEV,68,L,-14.5,W,133.0,O
8,"Jan 11, 2020",UNLV,78,WYOM,69,L,6.5,L,124.5,O
9,"Jan 8, 2020",SD.ST,72,WYOM,52,L,15.5,L,119.5,O
10,"Jan 4, 2020",WYOM,61,COLST,72,L,-13.5,W,127.5,O
11,"Jan 1, 2020",WYOM,54,BOISE,65,L,-17.5,W,133.5,U
12,"Dec 28, 2019",NEBWES,68,WYOM,82,W,0.0,,0.0,
13,"Dec 21, 2019",WYOM,72,DENVR,66,W,-2.5,W,127.0,O
14,"Dec 18, 2019",UTVAL,69,WYOM,67,L,2.5,W,129.0,O
15,"Dec 14, 2019",NCOLO,74,WYOM,53,L,6.0,L,128.0,U
16,"Dec 7, 2019",NEWMX,79,WYOM,65,L,8.0,L,132.0,O
17,"Dec 4, 2019",AIRFO,86,WYOM,77,L,2.0,L,121.5,O
18,"Nov 26, 2019",WYOM,47,TCU,64,L,-15.0,L,113.0,U
19,"Nov 24, 2019",COLO,56,WYOM,41,L,18.5,W,124.0,U
20,"Nov 21, 2019",ULLAF,61,WYOM,69,W,-2.5,W,134.5,U
21,"Nov 19, 2019",DETRT,49,WYOM,76,W,0.0,W,132.5,U
22,"Nov 16, 2019",OREST,83,WYOM,63,L,11.0,L,120.5,O
23,"Nov 13, 2019",FULLR,60,WYOM,53,L,-3.0,L,125.5,U
24,"Nov 10, 2019",WYOM,32,S.CAR,66,L,-17.0,L,134.0,U
25,"Nov 5, 2019",ID.ST,40,WYOM,54,W,-8.0,W,140.5,U
26,"Mar 13, 2019",WYOM,68,NEWMX,78,L,-9.0,L,147.5,U
27,"Mar 9, 2019",NEWMX,81,WYOM,88,W,5.0,W,147.5,O
28,"Mar 6, 2019",WYOM,81,SJ.ST,71,W,2.5,W,139.5,O
29,"Mar 2, 2019",AIRFO,80,WYOM,72,L,2.5,L,130.5,O
