,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 17, 2020",XAVIR,77,STJON,74,W,1.5,W,141.0,O
1,"Feb 12, 2020",XAVIR,61,BUTLR,66,L,-5.5,W,129.5,U
2,"Feb 8, 2020",PROV,58,XAVIR,64,W,-4.0,W,132.5,U
3,"Feb 4, 2020",XAVIR,67,DPAUL,59,W,-1.0,W,139.0,U
4,"Feb 1, 2020",XAVIR,74,SETON,62,W,-8.5,W,139.0,U
5,"Jan 29, 2020",MARQ,84,XAVIR,82,L,-2.0,L,143.0,O
6,"Jan 26, 2020",XAVIR,66,CREIG,77,L,-5.5,L,143.0,P
7,"Jan 22, 2020",GTOWN,57,XAVIR,66,W,-4.0,W,147.0,U
8,"Jan 15, 2020",XAVIR,65,MARQ,85,L,-3.5,L,144.5,O
9,"Jan 11, 2020",CREIG,77,XAVIR,65,L,-3.0,L,143.0,U
10,"Jan 8, 2020",SETON,83,XAVIR,71,L,-3.5,L,139.0,O
11,"Jan 5, 2020",STJON,67,XAVIR,75,W,-8.0,P,145.5,U
12,"Dec 30, 2019",XAVIR,62,VILLA,68,L,-5.5,L,140.0,U
13,"Dec 22, 2019",XAVIR,67,TCU,59,W,-2.0,W,134.5,U
14,"Dec 18, 2019",W.CAR,61,XAVIR,74,W,-14.5,L,147.0,U
15,"Dec 14, 2019",XAVIR,78,WAKE,80,L,6.0,L,142.5,O
16,"Dec 7, 2019",CINCY,66,XAVIR,73,W,-5.0,W,138.0,O
17,"Dec 4, 2019",WISGB,71,XAVIR,84,W,-17.0,L,152.5,O
18,"Nov 30, 2019",LIPSC,62,XAVIR,87,W,-17.5,W,134.5,O
19,"Nov 24, 2019",FLA,70,XAVIR,65,L,2.5,L,123.5,O
20,"Nov 22, 2019",XAVIR,75,UCONN,74,W,5.0,L,137.0,O
21,"Nov 21, 2019",XAVIR,73,TOWSN,51,W,10.0,W,132.5,U
22,"Nov 15, 2019",MIZST,56,XAVIR,59,W,-13.5,L,128.0,U
23,"Nov 12, 2019",MIZZU,58,XAVIR,63,W,-5.0,P,133.5,U
24,"Nov 8, 2019",SIENA,63,XAVIR,81,W,-19.0,L,145.5,U
25,"Nov 5, 2019",JAXVL,57,XAVIR,76,W,-23.0,L,145.0,U
26,"Mar 24, 2019",XAVIR,76,TEXAS,78,L,-4.5,W,139.5,O
27,"Mar 20, 2019",TOLDO,64,XAVIR,78,W,-6.0,W,143.5,U
28,"Mar 15, 2019",XAVIR,67,VILLA,71,L,-7.0,W,133.0,O
29,"Mar 14, 2019",CREIG,61,XAVIR,63,W,3.0,W,141.5,U
