,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 15, 2020",YALE,61,PENN,69,L,5.0,L,139.0,U
1,"Feb 14, 2020",YALE,88,PRNCE,64,W,4.0,W,136.0,O
2,"Feb 8, 2020",DART,57,YALE,75,W,-13.5,W,125.5,O
3,"Feb 7, 2020",HARVD,78,YALE,77,L,-6.0,L,137.0,O
4,"Feb 1, 2020",CORNL,71,YALE,86,W,-17.0,L,128.0,O
5,"Jan 31, 2020",COLUM,62,YALE,93,W,-14.5,W,133.0,O
6,"Jan 24, 2020",YALE,73,BROWN,62,W,6.0,W,134.5,O
7,"Jan 20, 2020",YALE,89,HOWRD,75,W,20.0,L,138.5,O
8,"Jan 17, 2020",BROWN,56,YALE,70,W,-11.5,W,134.0,U
9,"Jan 12, 2020",J&W-RI,58,YALE,108,W,0.0,,0.0,
10,"Dec 30, 2019",YALE,67,UNC,70,L,-6.5,W,134.0,O
11,"Dec 22, 2019",YALE,54,CLEMS,45,W,-5.0,W,128.0,U
12,"Dec 11, 2019",YALE,83,UMASS,80,W,6.5,L,129.5,O
13,"Dec 7, 2019",YALE,78,LEHIH,65,W,7.5,W,131.0,O
14,"Dec 4, 2019",YALE,61,ALBNY,52,W,5.0,W,128.5,U
15,"Dec 1, 2019",VERMT,52,YALE,65,W,-1.5,W,128.0,U
16,"Nov 26, 2019",YALE,81,BUCKN,61,W,4.0,W,135.5,O
17,"Nov 25, 2019",YALE,73,WMICH,51,W,7.0,W,135.5,U
18,"Nov 23, 2019",YALE,56,PENST,58,L,-15.0,W,142.0,U
19,"Nov 20, 2019",SIENA,89,YALE,100,W,-5.5,W,141.0,O
20,"Nov 17, 2019",YALE,57,OKST,64,L,-13.0,W,138.0,U
21,"Nov 11, 2019",YALE,79,SF,84,L,-4.5,L,144.5,O
22,"Nov 8, 2019",OBERL,37,YALE,94,W,0.0,,0.0,
23,"Nov 5, 2019",YALE,74,STONY,69,W,1.5,W,145.5,U
24,"Mar 21, 2019",YALE,74,LSU,79,L,-7.0,W,157.0,U
25,"Mar 17, 2019",YALE,97,HARVD,85,W,4.0,W,144.0,O
26,"Mar 16, 2019",PRNCE,77,YALE,83,W,-10.5,L,139.0,O
27,"Mar 9, 2019",YALE,81,PRNCE,59,W,3.5,W,142.0,U
28,"Mar 8, 2019",YALE,66,PENN,77,L,0.0,L,148.0,U
29,"Mar 2, 2019",COLUM,83,YALE,75,L,-12.5,L,147.0,O
