,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 15, 2020",YOUNG,64,OAKLN,72,L,-4.0,L,141.5,U
1,"Feb 13, 2020",YOUNG,76,DETRT,72,W,-2.5,W,146.0,O
2,"Feb 8, 2020",CLEST,55,YOUNG,67,W,-6.0,W,135.5,U
3,"Feb 1, 2020",IUPUI,76,YOUNG,91,W,-8.0,W,149.5,O
4,"Jan 30, 2020",ILCHI,90,YOUNG,83,L,-2.5,L,140.5,O
5,"Jan 25, 2020",WISGB,94,YOUNG,98,W,-2.5,W,158.0,O
6,"Jan 23, 2020",WISML,75,YOUNG,73,L,-3.5,L,141.5,O
7,"Jan 18, 2020",YOUNG,72,WRIGH,79,L,-11.0,W,146.0,O
8,"Jan 16, 2020",YOUNG,63,N.KENT,88,L,-8.0,L,132.0,O
9,"Jan 11, 2020",DETRT,67,YOUNG,69,W,-6.5,L,142.0,U
10,"Jan 9, 2020",OAKLN,60,YOUNG,61,W,-2.5,L,136.0,U
11,"Jan 4, 2020",YOUNG,74,CLEST,82,L,3.5,L,136.0,O
12,"Dec 30, 2019",YOUNG,70,ILCHI,64,W,-3.5,W,140.5,U
13,"Dec 28, 2019",YOUNG,83,IUPUI,73,W,3.0,W,139.0,O
14,"Dec 21, 2019",W.VA,75,YOUNG,64,L,12.5,W,141.5,U
15,"Dec 18, 2019",BINGH,55,YOUNG,73,W,-9.5,W,139.0,U
16,"Dec 15, 2019",SEMIZ,50,YOUNG,65,W,-7.5,W,137.5,U
17,"Dec 7, 2019",YOUNG,64,WMICH,66,L,-2.0,P,140.5,U
18,"Dec 4, 2019",ROBMO,70,YOUNG,81,W,-7.5,W,131.5,O
19,"Nov 30, 2019",YOUNG,72,CMICH,88,L,-6.5,L,152.5,O
20,"Nov 27, 2019",WMNRPA,67,YOUNG,93,W,0.0,,0.0,
21,"Nov 23, 2019",YOUNG,66,USCUP,61,W,6.0,L,136.0,U
22,"Nov 21, 2019",YOUNG,60,AKRON,82,L,-8.5,L,133.5,O
23,"Nov 19, 2019",NCCEN,60,YOUNG,66,W,-9.0,L,136.0,U
24,"Nov 15, 2019",YOUNG,61,ULLAF,73,L,1.0,L,153.5,U
25,"Nov 10, 2019",YOUNG,55,LOUIS,78,L,-26.0,W,149.0,U
26,"Nov 5, 2019",THIEL,53,YOUNG,101,W,0.0,,0.0,
27,"Mar 6, 2019",YOUNG,84,OAKLN,88,L,-8.0,W,155.0,O
28,"Mar 2, 2019",CLEST,89,YOUNG,80,L,-5.5,L,152.0,O
29,"Feb 23, 2019",YOUNG,54,WRIGH,82,L,-11.5,L,143.5,U
