,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 13, 2020",SF,70,SACLA,61,W,2.0,W,147.5,U
1,"Feb 8, 2020",SF,76,BYU,90,L,-9.5,L,149.0,O
2,"Feb 6, 2020",PACIF,60,SF,48,L,-7.5,L,134.0,U
3,"Feb 1, 2020",GONZG,83,SF,79,L,10.0,W,156.5,O
4,"Jan 30, 2020",SF,69,SD,44,W,5.5,W,141.5,U
5,"Jan 25, 2020",BYU,82,SF,83,W,2.5,W,147.5,O
6,"Jan 23, 2020",SF,48,STMAR,58,L,-9.0,L,140.0,U
7,"Jan 18, 2020",LOYMA,53,SF,61,W,-10.5,L,138.5,U
8,"Jan 11, 2020",SF,79,PACIF,75,W,-1.0,W,134.5,O
9,"Jan 9, 2020",SACLA,61,SF,80,W,-6.0,W,153.5,U
10,"Jan 4, 2020",SF,65,PORTL,76,L,10.0,L,144.5,U
11,"Jan 2, 2020",STMAR,69,SF,58,L,3.5,L,145.5,U
12,"Dec 30, 2019",HARVD,84,SF,81,L,-6.5,L,150.5,O
13,"Dec 23, 2019",SF,71,FRSNO,69,W,2.0,P,145.0,U
14,"Dec 21, 2019",UCDAV,84,SF,93,W,-13.5,L,144.0,O
15,"Dec 17, 2019",SF,56,STANF,64,L,-4.5,L,144.5,U
16,"Dec 14, 2019",SF,91,FULLR,69,W,9.5,W,138.0,O
17,"Dec 4, 2019",CAL,64,SF,76,W,-8.0,W,140.0,P
18,"Dec 3, 2019",ARZST,71,SF,67,L,-1.0,L,154.5,U
19,"Nov 30, 2019",SF,75,HAWAI,85,L,4.0,L,150.5,O
20,"Nov 26, 2019",HAMPT,73,SF,89,W,-19.5,L,160.5,O
21,"Nov 23, 2019",SAMHO,81,SF,90,W,-11.0,L,147.5,O
22,"Nov 19, 2019",CSBAK,70,SF,100,W,-10.5,W,135.5,O
23,"Nov 16, 2019",SF,76,S.ILL,60,W,2.0,W,129.5,O
24,"Nov 11, 2019",YALE,79,SF,84,W,-4.5,W,144.5,O
25,"Nov 9, 2019",PRNCE,72,SF,82,W,-7.0,W,141.0,O
26,"Nov 5, 2019",SONON,50,SF,101,W,0.0,,0.0,
27,"Mar 9, 2019",PEPPR,89,SF,72,L,-8.0,L,145.5,O
28,"Mar 2, 2019",LOYMA,74,SF,69,L,-7.5,L,130.5,O
29,"Feb 28, 2019",SD,91,SF,90,L,-6.5,L,136.5,O
